VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1S13E,King,Issaquah,WA,98027,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,5,207708238,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032102
5YJSA1CG6D,Douglas,Orondo,WA,98843,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,12,244813334,POINT (-120.22795 47.62352),PUD NO 1 OF DOUGLAS COUNTY,53017950101
5YJSA1H28E,King,Issaquah,WA,98027,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,5,140654692,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032002
5YJSA1H22E,Pierce,Bonney Lake,WA,98391,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,31,122491029,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070310
2C4RC1N77K,Snohomish,Stanwood,WA,98292,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,10,317507984,POINT (-122.37265 48.24159),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053302
YV4BR0PLXJ,Snohomish,Lake Stevens,WA,98258,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,39,114703032,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061053505
5YJSA1DP7C,Snohomish,Sultan,WA,98294,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,39,167375260,POINT (-121.81688 47.8623),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053801
KNDJP3AEXG,Pierce,Tacoma,WA,98407,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,27,258458259,POINT (-122.51134 47.29238),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060400
5YJSA1DP7D,Pierce,Tacoma,WA,98408,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,29,158194410,POINT (-122.44718 47.20144),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053063100
5YJSA1CN7D,King,Bellevue,WA,98006,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41,157017969,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025007
WBA7J2C54J,King,Kent,WA,98031,2018,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,90700,47,144448188,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029602
YV4BR0DL5J,King,Bellevue,WA,98006,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,41,261148646,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025007
WBAJA9C57J,Snohomish,Everett,WA,98208,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,52650,44,207398173,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041601
5YJSA1DP0D,King,Seattle,WA,98119,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,36,106364758,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900
5YJSA1H14E,Lewis,Centralia,WA,98531,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,20,217119297,POINT (-122.95298 46.72894),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53041971100
WBAJB1C50J,Whatcom,Bellingham,WA,98226,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,42,216884790,POINT (-122.49756 48.7999),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000803
5YJSA1BG1D,King,Auburn,WA,98001,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,30,249157877,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030404
5YJSA1CN0D,Snohomish,Arlington,WA,98223,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,39,152833187,POINT (-122.1264 48.19471),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053700
YV4BR0PL0J,Snohomish,Mill Creek,WA,98012,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,44,349884027,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052005
5YJSA1DP5D,Pierce,Lake Tapps,WA,98391,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,31,170403089,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070314
JF2GTDNC4K,Whatcom,Bellingham,WA,98225,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,34995,42,144427986,POINT (-122.47107 48.75245),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000501
5YJSA1CN3D,King,Bellevue,WA,98008,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48,478469820,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023300
WMZYU7C49J,Pierce,Tacoma,WA,98407,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36800,27,103976589,POINT (-122.51134 47.29238),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060800
2C4RC1N79K,Kittitas,Ellensburg,WA,98926,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,13,211755421,POINT (-120.54872 46.99703),BONNEVILLE POWER ADMINISTRATION||CITY OF ELLENSBURG - (WA),53037975500
KNDJP3AE3H,Pierce,South Hill,WA,98373,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,25,272312372,POINT (-122.2988 47.13795),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053071310
5YJSA1H11E,Snohomish,Everett,WA,98204,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,125971107,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041812
5YJSA1DN7D,Whatcom,Bellingham,WA,98225,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,42,185029841,POINT (-122.47107 48.75245),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000501
YV4BR0DL7J,Pierce,Gig Harbor,WA,98335,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,26,132361540,POINT (-122.58009 47.328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072405
5YJSA1DN4C,King,Seattle,WA,98122,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,37,210143419,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800
KNDJX3AE0G,Clark,Vancouver,WA,98663,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,49,286753239,POINT (-122.64695 45.65675),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041011
WMZYU7C53K,Snohomish,Marysville,WA,98271,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,38,476060462,POINT (-122.1677 48.11026),PUGET SOUND ENERGY INC,53061053102
5YJSA1DP8D,Pierce,Lake Tapps,WA,98391,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,31,109753514,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070307
5YJSA1AG6D,Island,Langley,WA,98260,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,10,294615555,POINT (-122.40618 48.0399),PUGET SOUND ENERGY INC,53029972000
5YJSA1DP4D,King,Redmond,WA,98052,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,233466453,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032322
WBAJA9C54K,Snohomish,Bothell,WA,98021,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,53400,1,228446410,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918
5YJSA1H10E,King,Woodinville,WA,98077,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,196700696,POINT (-122.07326 47.75425),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032327
5YJSA1DP4D,Skagit,Burlington,WA,98233,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,40,223040212,POINT (-122.33029 48.46846),PUGET SOUND ENERGY INC,53057951600
5YJSA1BG2D,Snohomish,Gold Bar,WA,98251,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,39,215266824,POINT (-121.69743 47.85565),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053803
